,,,logFC,logCPM,PValue,FDR
XLOC_007628,CTSL2,NM_001168009,-0.776546472793848,10.2446779806668,1.46337730811309e-05,0.108846004177451
XLOC_007562,ATP5A1,NM_204286,-1.01672647580725,9.32975063758644,4.77787472645941e-05,0.151673951218287
XLOC_000734,,,-5.91402725415531,5.57214701519903,6.1175296269812e-05,0.151673951218287
XLOC_007733,,,-0.900550894242861,9.09101600233232,0.000185461870245625,0.344866347721739
XLOC_006312,GLRX3,NM_001277384,-1.60895559083092,7.30882176468469,0.000427739875049046,0.636305838122961
XLOC_007606,MIR101-1,NR_031494,-1.70683878970566,7.1240116467634,0.000537003071299344,0.66570480738742
XLOC_002149,,,-5.47524260788893,5.12468947062386,0.000977736468098374,0.979267320201025
XLOC_007813,AK6,NM_001031333,-1.98102534792232,6.6189477140088,0.00105325874719121,0.979267320201025
XLOC_004042,HYOU1,NM_001006588,1.10252387370529,8.10850584745749,0.00133600223661092,1
XLOC_007790,WDR36,NM_001044634,-1.15406031321754,7.96804075175453,0.0015814537351954,1
XLOC_007728,EMB,NM_204557,-1.24392874469696,7.61902433801127,0.00194727855447915,1
XLOC_002257,LIMK2,NM_205115,1.25627394967626,7.73161077064252,0.00206953665275437,1
XLOC_003603,,,-2.72880975950318,5.75268242387869,0.00237318106782225,1
XLOC_004537,RRBP1,NM_001257346,2.21227968071773,6.18901568672747,0.00279156388685882,1
XLOC_004351,,,0.806474425399925,8.80527759323398,0.00284019314578091,1
XLOC_007549,NARS,NM_001031400,-1.00586055700408,8.23429900752506,0.00335566172719579,1
XLOC_006799,,,-3.26236974734613,5.36569644330977,0.00342213086406026,1
XLOC_007788,,,-1.44026481137884,7.05695129194913,0.0037363347567091,1
XLOC_002864,RSU1,NM_001199591,5.22618408904935,4.83518928487248,0.00390932315835368,1
XLOC_007541,UBAP2,NM_001277104,5.22618408904935,4.83519036601967,0.00390932315835368,1
XLOC_005445,,,2.1353055349665,6.12469835201565,0.00435243140641553,1
XLOC_002066,,,-2.06941856286124,6.12469144850999,0.00435243140641553,1
XLOC_007699,VCP,NM_001044664,-0.786063026778746,8.83383731171034,0.00514027894077168,1
XLOC_000885,TMSB4X,NM_001001315,0.537194373320899,9.72082962488334,0.00516763888543473,1
XLOC_003597,,,-2.06941856286124,6.12323766342441,0.00592438258251647,1
XLOC_002421,TUBB2C,NM_001080860,0.95149737617499,8.0579440036417,0.00593026524548463,1
XLOC_001422,,,2.05399185849577,6.05758430835392,0.0072101060431827,1
XLOC_003325,NDC80,NM_204477,-1.98813203059567,6.05754401549361,0.00728376789453641,1
XLOC_007588,SKIV2L2,NM_001012944,-0.959175224609879,7.95018367868532,0.0077396411595192,1
XLOC_000092,XRCC6BP1,NM_001199554,5.06106883466991,4.66526551678404,0.00781728015525196,1
XLOC_002016,TOP3A,NM_001256491,5.06106883466991,4.66526443561369,0.00781728015525196,1
XLOC_005319,PPAT,NM_001004401,1.0580089507117,7.73167716344651,0.0083675007589233,1
XLOC_002067,,,0.891590426282619,8.20567008718793,0.00897861149834078,1
XLOC_007642,CHD1,NM_204941,-1.27046052430393,7.0572049543005,0.00924751979632611,1
__no_feature,,,-0.0793793594312216,18.363862790827,0.0094551786965051,1
XLOC_001814,PRELID1,NM_204972,1.0261294440056,7.77415887719206,0.00948109717436357,1
XLOC_007839,MELK,NM_001031509,-1.84132219015063,6.25001886875499,0.00976741516506601,1
XLOC_007633,SPINZ,NM_204633,-0.989174880958129,7.79415025558368,0.00979193550387212,1
XLOC_002368,GPR107,NM_001030686,5.06106883466991,4.66724929483798,0.00984708022741816,1
XLOC_003883,TRAPPC3,NM_001008451,-1.66270564392105,6.36564668552981,0.0101386448871733,1
XLOC_003300,,,1.4823099950767,6.75294699210639,0.0101800859596499,1
XLOC_002380,GTF3C5,NM_001030684,1.72928227537965,6.36616388347016,0.0104100604519678,1
XLOC_005775,CELF1,NM_001012521,-1.76437236842733,6.1888180869108,0.0106409631636287,1
XLOC_001826,,,-1.76437236842733,6.18872629906731,0.0109146840812838,1
XLOC_004452,,,0.881967165636228,8.10851588859339,0.0110234648539615,1
XLOC_007679,XPA,NM_204853,-1.20414011199543,7.12439181032252,0.0111337679400672,1
XLOC_004026,BUD13,NM_001039319,1.83064232488036,6.18915344833546,0.0115876752670067,1
XLOC_004515,B3GNT2,NM_001008457,0.945238555076242,7.95051548934503,0.0117997567121487,1
XLOC_003910,HMGN2,NM_001079485,0.632487750044109,8.95090329561294,0.0118010275137144,1
XLOC_003295,,,1.96781996953334,5.98719543721579,0.0118357061557971,1
XLOC_004631,,,1.5282460417482,6.61988871183513,0.0119735203522197,1
XLOC_004746,TRIB2,NM_204401,1.58480258568658,6.47262182151354,0.0125672737613712,1
XLOC_005377,RPIA,NM_001031170,2.47672123518884,5.47262127558598,0.0129525622089308,1
