"","logFC","logCPM","PValue","FDR"
"XLOC_007628",-0.776546472793848,10.2446779806668,1.46337730811309e-05,0.108846004177451
"XLOC_007562",-1.01672647580725,9.32975063758644,4.77787472645941e-05,0.151673951218287
"XLOC_000734",-5.91402725415531,5.57214701519903,6.1175296269812e-05,0.151673951218287
"XLOC_007733",-0.900550894242861,9.09101600233232,0.000185461870245625,0.344866347721739
"XLOC_006312",-1.60895559083092,7.30882176468469,0.000427739875049046,0.636305838122961
"XLOC_007606",-1.70683878970566,7.1240116467634,0.000537003071299344,0.66570480738742
"XLOC_002149",-5.47524260788893,5.12468947062386,0.000977736468098374,0.979267320201025
"XLOC_007813",-1.98102534792232,6.6189477140088,0.00105325874719121,0.979267320201025
"XLOC_004042",1.10252387370529,8.10850584745749,0.00133600223661092,1
"XLOC_007790",-1.15406031321754,7.96804075175453,0.0015814537351954,1
"XLOC_007728",-1.24392874469696,7.61902433801127,0.00194727855447915,1
"XLOC_002257",1.25627394967626,7.73161077064252,0.00206953665275437,1
"XLOC_003603",-2.72880975950318,5.75268242387869,0.00237318106782225,1
"XLOC_004537",2.21227968071773,6.18901568672747,0.00279156388685882,1
"XLOC_004351",0.806474425399925,8.80527759323398,0.00284019314578091,1
"XLOC_007549",-1.00586055700408,8.23429900752506,0.00335566172719579,1
"XLOC_006799",-3.26236974734613,5.36569644330977,0.00342213086406026,1
"XLOC_007788",-1.44026481137884,7.05695129194913,0.0037363347567091,1
"XLOC_002864",5.22618408904935,4.83518928487248,0.00390932315835368,1
"XLOC_007541",5.22618408904935,4.83519036601967,0.00390932315835368,1
"XLOC_005445",2.1353055349665,6.12469835201565,0.00435243140641553,1
"XLOC_002066",-2.06941856286124,6.12469144850999,0.00435243140641553,1
"XLOC_007699",-0.786063026778746,8.83383731171034,0.00514027894077168,1
"XLOC_000885",0.537194373320899,9.72082962488334,0.00516763888543473,1
"XLOC_003597",-2.06941856286124,6.12323766342441,0.00592438258251647,1
"XLOC_002421",0.95149737617499,8.0579440036417,0.00593026524548463,1
"XLOC_001422",2.05399185849577,6.05758430835392,0.0072101060431827,1
"XLOC_003325",-1.98813203059567,6.05754401549361,0.00728376789453641,1
"XLOC_007588",-0.959175224609879,7.95018367868532,0.0077396411595192,1
"XLOC_000092",5.06106883466991,4.66526551678404,0.00781728015525196,1
"XLOC_002016",5.06106883466991,4.66526443561369,0.00781728015525196,1
"XLOC_005319",1.0580089507117,7.73167716344651,0.0083675007589233,1
"XLOC_002067",0.891590426282619,8.20567008718793,0.00897861149834078,1
"XLOC_007642",-1.27046052430393,7.0572049543005,0.00924751979632611,1
"__no_feature",-0.0793793594312216,18.363862790827,0.0094551786965051,1
"XLOC_001814",1.0261294440056,7.77415887719206,0.00948109717436357,1
"XLOC_007839",-1.84132219015063,6.25001886875499,0.00976741516506601,1
"XLOC_007633",-0.989174880958129,7.79415025558368,0.00979193550387212,1
"XLOC_002368",5.06106883466991,4.66724929483798,0.00984708022741816,1
"XLOC_003883",-1.66270564392105,6.36564668552981,0.0101386448871733,1
"XLOC_003300",1.4823099950767,6.75294699210639,0.0101800859596499,1
"XLOC_002380",1.72928227537965,6.36616388347016,0.0104100604519678,1
"XLOC_005775",-1.76437236842733,6.1888180869108,0.0106409631636287,1
"XLOC_001826",-1.76437236842733,6.18872629906731,0.0109146840812838,1
"XLOC_004452",0.881967165636228,8.10851588859339,0.0110234648539615,1
"XLOC_007679",-1.20414011199543,7.12439181032252,0.0111337679400672,1
"XLOC_004026",1.83064232488036,6.18915344833546,0.0115876752670067,1
"XLOC_004515",0.945238555076242,7.95051548934503,0.0117997567121487,1
"XLOC_003910",0.632487750044109,8.95090329561294,0.0118010275137144,1
"XLOC_003295",1.96781996953334,5.98719543721579,0.0118357061557971,1
"XLOC_004631",1.5282460417482,6.61988871183513,0.0119735203522197,1
"XLOC_004746",1.58480258568658,6.47262182151354,0.0125672737613712,1
"XLOC_005377",2.47672123518884,5.47262127558598,0.0129525622089308,1
"XLOC_002623",-2.41285086536651,5.47261380958313,0.0129525622089308,1
"XLOC_001522",-2.09988242895299,5.75262299316587,0.0129701956382257,1
"XLOC_002269",-1.0833847635529,7.33721729155999,0.0131348633335879,1
"XLOC_007761",-0.992603860320157,7.59556518091419,0.0133369106654764,1
"XLOC_003101",-3.13954399521642,5.25038255490053,0.0139177968920172,1
"XLOC_006817",1.28934298544251,7.02349986561482,0.0139733466842117,1
"XLOC_007737",-1.58965314091403,6.30911350797848,0.0146596007070601,1
"XLOC_007827",-1.58965314091403,6.30911119418287,0.0146596007070601,1
"XLOC_002268",1.30997762060541,6.9134977441449,0.0152808483165149,1
"XLOC_005124",0.542800675526831,9.46637721923093,0.015936518736227,1
"XLOC_003904",1.74932864840963,6.12469752941127,0.0169261998081921,1
"XLOC_001021",1.74932864840963,6.12513112939962,0.018311541535087,1
"XLOC_005947",1.87617224928873,5.91319500798997,0.019235050356794,1
"XLOC_000167",-1.8103773894866,5.9131707825079,0.0193121316622853,1
"XLOC_001366",1.23915205697683,6.98759762440183,0.0202261927311939,1
"XLOC_005902",-1.68308583616176,6.1239972192939,0.0204263363544902,1
"XLOC_000701",0.864819399605438,7.95086247041791,0.0210527541836306,1
"XLOC_005481",1.87617224928873,5.91367222440124,0.0211559216425179,1
"XLOC_003555",-1.99493549362751,5.66526007499017,0.0212925997101362,1
"XLOC_007687",-1.99493549362751,5.66525776073483,0.0212925997101362,1
"XLOC_007750",-1.99493549362751,5.66525652746245,0.0212925997101362,1
"XLOC_000872",2.91783213419731,4.98719356556134,0.0214978187459572,1
"XLOC_003985",2.91783213419731,4.9871937178816,0.0214978187459572,1
"XLOC_007575",-0.861569046999835,7.70937357569554,0.0221482137969097,1
"XLOC_007203",1.256032839685,6.87512023638933,0.0224052526414518,1
"XLOC_003539",1.57923370496666,6.250256326178,0.0231195865395743,1
"XLOC_001654",1.87617224928873,5.91425828022229,0.0232413057237066,1
"XLOC_006618",0.395312294315221,10.284200502022,0.0234396211247196,1
"XLOC_007772",-1.18875208460525,6.8739583035184,0.02411696483745,1
"XLOC_001786",-0.920907672529835,7.54672672520914,0.0252730671852604,1
"XLOC_005415",0.63707459698543,8.52346680084336,0.0255383003069714,1
"XLOC_006068",1.51525172179544,6.42098535206066,0.0258403135468785,1
"XLOC_005871",1.1871518684757,6.95092727022888,0.0261147495335601,1
"XLOC_001407",0.87555371151536,7.79477306332383,0.0264999568919699,1
"XLOC_006104",-1.20877098662466,6.75265775027413,0.0275211054959835,1
"XLOC_006575",0.924476121019079,7.643664770791,0.027600835438594,1
"XLOC_003807",1.02331814026176,7.33826856365905,0.0284770851352394,1
"XLOC_001653",2.35383347609027,5.36558850563664,0.0286265879705487,1
"XLOC_006197",-1.59694443222986,6.05746091715179,0.0288608368354896,1
"XLOC_004859",-1.37543400059291,6.36569904587132,0.0290040452976654,1
"XLOC_004399",0.733639535182646,8.18947248450311,0.0292186469528032,1
"XLOC_000228",-0.698986093124509,8.24995330989529,0.0295925212196939,1
"XLOC_001718",1.29980912498936,6.61952876568261,0.0302411709516839,1
"XLOC_004407",-0.958315872304069,7.77042161001148,0.0309047189378259,1
"XLOC_004340",1.77830526054011,5.83518910082269,0.03091592942067,1
"XLOC_002633",-1.71254972353439,5.83518163548586,0.03091592942067,1
"XLOC_005461",1.12596776411785,7.0231060810014,0.0311519296733195,1
"XLOC_006065",4.66036510833921,4.25022832193672,0.0312602421828656,1
"XLOC_005917",4.66036510833921,4.25022724072001,0.0312602421828656,1
"XLOC_000306",-4.62754942352535,4.2502227603332,0.0312602421828656,1
"XLOC_005730",-4.62754942352535,4.25022399388444,0.0312602421828656,1
"XLOC_005876",-1.71254972353439,5.83503101937742,0.0317438065247248,1
"XLOC_007818",-0.653186147180047,8.51031496437237,0.033323377792497,1
"XLOC_004341",-0.767927923402212,7.93186948529766,0.0338015952848178,1
"XLOC_006962",1.44217729713367,6.36667581002141,0.033990887249523,1
"XLOC_007782",-0.955697143841026,7.33614425262141,0.0340254439407714,1
"XLOC_003554",1.02264697956886,7.2503252874059,0.0340639461411135,1
"XLOC_007019",-1.71254972353439,5.83498683516452,0.034154147503002,1
"XLOC_003153",-0.760122388597836,7.87467566806117,0.0343946371289119,1
"XLOC_002419",0.843311240507474,7.77415324974421,0.0344108652291242,1
"XLOC_003321",-1.88175120076853,5.57205408923264,0.0357304536738601,1
"XLOC_002391",1.32891000451916,6.47262099902075,0.035753805563453,1
"XLOC_001923",-1.43141678692517,6.18866296231325,0.0358114642260355,1
"XLOC_007763",-0.412176322939684,10.2962301799504,0.0358991606297045,1
"XLOC_007762",-0.565789878242063,8.80448326292325,0.0362617234110016,1
"XLOC_003976",0.273180898419864,12.5380280461353,0.0364401339891233,1
"XLOC_000955",-1.14802453277108,6.7094943430991,0.0368243377587116,1
"XLOC_001795",0.586910910998835,8.58427158433615,0.036997289416239,1
"XLOC_000108",0.626937167285162,8.48544956138661,0.0375506137178177,1
"XLOC_005850",-1.06586432550669,6.9127159760759,0.0379607367159286,1
"XLOC_003917",-1.06586432550669,6.91271189891985,0.0380012283263096,1
"XLOC_001474",-0.915899198119742,7.39319713391067,0.0380797707956691,1
"XLOC_007683",-1.43141678692517,6.18839112723359,0.0382305420882228,1
"XLOC_002179",2.21949532120333,5.25023039207303,0.0385988648097545,1
"XLOC_002787",2.21949532120333,5.25022915868172,0.0385988648097545,1
"XLOC_006342",2.21949532120333,5.25023039207303,0.0385988648097545,1
"XLOC_000487",-2.15576106424038,5.25022333792401,0.0385988648097545,1
"XLOC_002047",-2.69222308171334,4.83518439256388,0.039080936130413,1
"XLOC_002353",-2.69222308171334,4.83518562603166,0.039080936130413,1
"XLOC_002747",-2.69222308171333,4.8351854737074,0.039080936130413,1
"XLOC_003775",-2.69222308171333,4.8351867071761,0.039080936130413,1
"XLOC_006242",-2.69222308171333,4.83518424023976,0.039080936130413,1
"XLOC_006300",-2.69222308171333,4.8351867071761,0.039080936130413,1
"XLOC_004905",1.77830526054011,5.83507328134249,0.0396664231037425,1
"XLOC_001754",1.57150903920258,5.98719461457383,0.0414330829597834,1
"XLOC_003240",-1.5053311950527,5.98718576411418,0.0414330829597834,1
"XLOC_005389",-1.5053311950527,5.98718576411418,0.0414330829597834,1
"XLOC_007658",-1.5053311950527,5.9871859163884,0.0414330829597834,1
"XLOC_003841",-1.5053311950527,5.987175091926,0.0415412346120597,1
"XLOC_005452",2.21949532120333,5.25086121787512,0.041636815351372,1
"XLOC_007127",1.6631567594472,6.05695466100779,0.0420380699265823,1
"XLOC_005761",-1.26200191759035,6.47246454939456,0.0421274857078493,1
"XLOC_004035",0.946965676632365,7.44828607882249,0.0423093261040423,1
"XLOC_002136",1.36520315138244,6.30912246501769,0.0433416002373013,1
"XLOC_004447",0.977199768866129,7.22003872200393,0.0442619829038806,1
