"","logFC","logCPM","PValue","FDR"
"ENSG00000171201",-15.2162431662787,15.3006591166408,0,0
"ENSG00000171195",-14.9002681064801,14.9212576902135,0,0
"ENSG00000162078",-14.8695855322022,14.9154749521484,0,0
"ENSG00000126549",-13.9053951786196,13.9984796845849,0,0
"ENSG00000185303",13.8398455570928,13.715420939541,0,0
"ENSG00000168484",13.2547194086317,13.1301680364594,0,0
"ENSG00000122852",12.9720409064767,12.8474299076486,0,0
"ENSG00000168878",12.9712638984127,12.8466527240356,0,0
"ENSG00000126550",-12.8839983035245,12.97710919222,0,0
"ENSG00000090382",-4.26834764954804,13.0645762543472,0,0
"ENSG00000211895",-2.79754658930438,12.8245125171067,4.28707731318215e-232,2.48167213631079e-228
"ENSG00000096006",-8.80904732821582,11.3171815108725,2.08600470188219e-169,1.10690362830875e-165
"ENSG00000205649",-11.4955353362536,11.5599031448527,1.89419059358688e-166,9.27803694132602e-163
"ENSG00000134551",-11.0556720198506,11.1483819893684,3.78488221889317e-153,1.72147257264458e-149
"ENSG00000211896",3.67799807646258,11.5101875925547,1.35300948210298e-152,5.7436154521593e-149
"ENSG00000187533",-11.0095648705285,11.1022538791281,4.21178120966874e-148,1.67618362691792e-144
"ENSG00000198886",-1.69635883948438,13.1997479407396,2.76330107649566e-144,1.03503505498199e-140
"ENSG00000162896",-3.80824724919195,11.6305547863034,5.889273635161e-143,2.08336326662507e-139
"ENSG00000115414",5.7579076075307,10.7699332847594,2.62612768754019e-129,8.80112140167417e-126
"ENSG00000175899",3.46633295154003,11.3636214653218,3.22296360082814e-129,1.02612715123166e-125
"ENSG00000131686",-10.7129661369807,10.8055014174725,1.07760252493127e-120,3.26749611321542e-117
"ENSG00000159763",-10.8442749278161,10.9237514112907,3.27788653175098e-120,9.48739558162615e-117
"ENSG00000211890",-5.18141746177165,11.4887784243228,9.18781248329848e-116,2.54366585950658e-112
"ENSG00000167748",-10.8616825640541,10.9269922547448,4.18964030801459e-109,1.11158140105474e-105
"ENSG00000198804",-1.24944333009761,13.5343991575221,9.43370128422202e-108,2.40280145189648e-104
"ENSG00000157765",5.63476242613474,10.484423214373,2.377179771024e-106,5.82189611922016e-103
"ENSG00000198888",-1.93302887317538,11.8848428803123,1.40457162573549e-72,3.31250010519752e-69
"ENSG00000198763",-1.82213853614946,11.9058835880198,5.11674152558964e-67,1.16362011922659e-63
"ENSG00000087460",-2.38520555401038,11.3059309013599,1.57514404888199e-66,3.4585818088486e-63
"ENSG00000165795",-4.61333081376862,10.2221476080602,5.10232521425647e-64,1.08298553447665e-60
"ENSG00000116016",4.06399512880647,10.4321116643318,9.55082777527125e-63,1.96180164328443e-59
"ENSG00000210082",-1.40563445401244,12.3668023735631,5.70211359494211e-60,1.13464932897354e-56
"ENSG00000198938",-1.96844226964206,12.7589052154746,8.13425965980501e-59,1.56956702453862e-55
"ENSG00000198727",-1.39564036217368,12.3548302170476,1.25266780723444e-58,2.3460257439253e-55
"ENSG00000087086",2.66597583642059,10.6609898061053,8.63643314510524e-58,1.57123861985063e-54
"ENSG00000160862",-9.45941593476429,9.55077569604395,1.08473039481176e-50,1.91864701722315e-47
"ENSG00000131400",7.05666524799362,9.17837888606112,3.5269458455879e-46,6.06977847739608e-43
"ENSG00000012223",-7.27817577893863,9.75757705922982,1.96584693562291e-44,3.29413867033486e-41
"ENSG00000075624",1.69799708561449,11.2693369431997,1.96932371364849e-43,3.21535017410977e-40
"ENSG00000198502",4.28386429825217,9.34610658844508,4.28252455377661e-41,6.81735083715699e-38
"ENSG00000198712",-1.60216892352261,11.9526257883124,5.00948092480858e-40,7.78009042361247e-37
"ENSG00000167419",-9.42079115316155,9.481294074279,1.47101374735764e-39,2.23019693754155e-36
"ENSG00000167972",4.47759141436765,9.17837812652871,2.30686955507011e-37,3.41609827415453e-34
"ENSG00000181617",-8.89814980205111,8.98853687536569,4.646197940677e-35,6.72389318342156e-32
"ENSG00000196126",2.54595011556005,9.97724121964761,1.38287223930824e-34,1.95679494911537e-31
"ENSG00000198959",4.75396036150199,8.97723724097305,1.41506681655998e-34,1.9588216219842e-31
"ENSG00000132465",-2.58727046589322,10.0810085822969,2.46198547336467e-32,3.33551887238231e-29
"ENSG00000204525",1.81452496008751,10.6431953642982,4.63648392825001e-32,6.15068230448432e-29
"ENSG00000204287",1.86696670312094,10.5469793916215,1.83237522769045e-31,2.38119030609015e-28
"ENSG00000078081",6.46289019515493,8.5884638252145,7.9120494916316e-31,1.00761532685827e-27
"ENSG00000066405",8.91052028699369,8.80758347630664,4.62619293050751e-30,5.77602864790189e-27
"ENSG00000204305",8.89749138902276,8.79475262372125,7.59484957644929e-30,9.30018541596125e-27
"ENSG00000166482",4.34102003023231,8.83404162837203,2.48302700121648e-29,2.98319296848039e-26
"ENSG00000213853",5.62445085319911,8.60326076774839,4.07446838835157e-29,4.80455276104953e-26
"ENSG00000131050",-8.84078722410239,8.91102939788915,7.09911911773117e-29,8.21897288983e-26
"ENSG00000013588",5.57875894584671,8.5584063093401,3.16408906314734e-28,3.59779527116018e-25
"ENSG00000147065",2.88935727640356,9.4064057374415,3.30688855317982e-28,3.69420062302243e-25
"ENSG00000105974",4.39221960378097,9.12346297096637,4.42379044392691e-28,4.85671172943948e-25
"ENSG00000116133",3.24234406488318,9.10749314004661,1.8801656579567e-26,2.0291767531534e-23
"ENSG00000134827",-8.4538319831454,8.54308704262933,1.49797046655986e-25,1.58974612381109e-22
"ENSG00000196924",1.67874306716915,10.4683371278123,4.82130100535879e-25,5.03280594782338e-22
"ENSG00000115112",-5.47309136133289,8.83770537291713,6.10627621515131e-24,6.27134264961249e-21
"ENSG00000139329",4.52413486304664,8.77870722963609,2.6733624817714e-23,2.70204808554405e-20
"ENSG00000245532",-1.29867782391472,11.1382767477922,3.24156036825918e-23,3.22514996889486e-20
"ENSG00000111215",-8.5137850268515,8.58410399865095,6.29337351394169e-23,6.16518233651924e-20
"ENSG00000100234",2.27635633773306,9.57351540158094,1.45533064125639e-22,1.40408536231276e-19
"ENSG00000084234",2.02364741820383,9.83404380933513,2.18805579837561e-22,2.0795021047368e-19
"ENSG00000197746",1.51558864529454,10.5081923540136,6.23705558208233e-22,5.84045222418639e-19
"ENSG00000189058",-5.91278164063661,8.43148292182484,7.2240201148933e-22,6.66661891066588e-19
"ENSG00000204592",1.57482273167798,10.6772859045458,1.03319310956712e-21,9.39851492068512e-19
"ENSG00000133661",8.18416114558317,8.05469622555756,1.72722548286794e-21,1.54905365981829e-18
"ENSG00000197249",8.26753960137605,8.14830770308275,2.7737721680698e-21,2.45296190438233e-18
"ENSG00000106351",-5.08806497614813,8.48032891099473,2.81214616213189e-21,2.45296190438233e-18
"ENSG00000069122",5.1700579383352,8.1607376839385,8.52418565650565e-21,7.33494656572505e-18
"ENSG00000179344",3.71786629982276,8.46428306929386,2.10846425946951e-20,1.7901142691464e-17
"ENSG00000070756",-1.54481707965906,10.4479655094965,1.08986639833276e-19,9.13135957634695e-17
"ENSG00000182718",2.52661351079227,9.15847627290726,1.11498675643054e-19,9.22050606525595e-17
"ENSG00000124107",-2.30957902583535,10.1501623555126,1.56881844548609e-19,1.27862262175419e-16
"ENSG00000205542",1.53086799745552,10.3149842695766,1.58633059737705e-19,1.27862262175419e-16
"ENSG00000086548",4.62254638769093,8.15885420076785,1.70842355521271e-19,1.35981972877155e-16
"ENSG00000107742",5.78689602377296,7.9192858534505,2.17089395255846e-19,1.70659065831003e-16
"ENSG00000211445",3.49638422368166,8.44811202884169,6.07182268816683e-19,4.71499245721599e-16
"ENSG00000151882",-5.67714189026645,8.19799356183033,2.16868104017892e-18,1.6637702881257e-15
"ENSG00000136153",5.06350794132536,8.06748170492076,6.34444465490614e-18,4.80939116483099e-15
"ENSG00000064989",5.66186838440456,7.79590306361185,6.94563630341459e-18,5.20318043830856e-15
"ENSG00000171885",7.87415307833297,7.74351953133963,2.83512087387627e-17,2.09917624145286e-14
"ENSG00000188906",5.52496852028962,7.66107693559052,2.27786289161068e-16,1.66718617800232e-13
"ENSG00000148175",3.66213812640076,8.19814530975423,2.9323640149841e-16,2.12183194338781e-13
"ENSG00000096088",7.87415307833297,7.75717362194439,4.11441558354172e-16,2.94370254716407e-13
"ENSG00000099994",7.73460275275929,7.60325763882853,4.44435328445301e-16,3.14442933045367e-13
"ENSG00000104332",-4.87725452275619,8.2590112444395,4.57297617022651e-16,3.19987725950927e-13
"ENSG00000196616",3.49029235136355,8.25656891095907,7.89377107173915e-16,5.4635192039572e-13
"ENSG00000176387",-5.61682720702949,8.12407328426352,1.05043363441659e-15,7.19219485001188e-13
"ENSG00000131471",4.03657065882399,7.98854832408951,1.3016387410381e-15,8.72454194466758e-13
"ENSG00000187498",4.03657065882399,7.98854832469498,1.3016387410381e-15,8.72454194466758e-13
"ENSG00000090006",2.71559812303117,8.64676093934037,1.404085925221e-15,9.31318493483044e-13
"ENSG00000169710",3.07173046970812,8.38086634164989,1.52575329489453e-15,1.00158625572891e-12
"ENSG00000158710",2.26233502465955,8.99977737697405,2.86721238618449e-15,1.862985876558e-12
"ENSG00000133026",4.42163487717278,7.98009866283261,3.10312148820204e-15,1.99590266548235e-12
"ENSG00000139289",-3.60957691822607,8.29232115073119,6.31921983939152e-15,4.02382642493094e-12
"ENSG00000129538",3.55234305121592,8.09707287351745,6.39484935074959e-15,4.03166759661713e-12
"ENSG00000198682",5.37370289021144,7.51214595629323,1.43296855565808e-14,8.9456574264788e-12
"ENSG00000103811",3.24135157209236,8.21744750882049,1.98039235735257e-14,1.22430547326973e-11
"ENSG00000153395",3.70877635888083,7.98855358065686,2.08847011980264e-14,1.27870599373609e-11
"ENSG00000164741",5.34144896526949,7.48041868116607,2.85446521505677e-14,1.73105644794243e-11
"ENSG00000173369",4.03657065882399,8.00223262808703,3.08092644190928e-14,1.85076483127373e-11
"ENSG00000125810",4.24339580460633,7.80175231552957,4.84090396026856e-14,2.88083551938375e-11
"ENSG00000168685",7.51333884291606,7.38097091488673,1.16116087400059e-13,6.82581533060387e-11
"ENSG00000141753",3.17549487086075,8.15847337774014,1.16843688522492e-13,6.82581533060387e-11
"ENSG00000116299",-3.75122891825139,8.11782381444126,1.42086960102539e-13,8.22502661044481e-11
"ENSG00000121335",-7.42709210761567,7.51210367453878,2.27494342145022e-13,1.29443202379891e-10
"ENSG00000170373",-7.3955695237078,7.48039082229453,2.27678225179781e-13,1.29443202379891e-10
"ENSG00000166292",7.47876600925777,7.34635434140749,2.38781468572911e-13,1.34554414096006e-10
"ENSG00000142973",3.60790242753195,7.89545162001894,2.6022318933131e-13,1.45350629858426e-10
"ENSG00000022267",3.52934449930422,8.08967024078378,5.24735056238823e-13,2.90548082096203e-10
"ENSG00000136167",2.86297887487369,8.19800159651236,5.638793126636e-13,3.09530854423857e-10
"ENSG00000211897",3.10648752227555,8.09707261785831,6.97123088606426e-13,3.79401793077802e-10
"ENSG00000163513",2.6934108956497,8.31047649737096,1.02360149282923e-12,5.52363124215205e-10
"ENSG00000198899",-1.00460594985867,11.3588948971353,1.05579532810764e-12,5.64948095063714e-10
"ENSG00000130164",4.47001808444454,7.48040036102591,1.33656374457674e-12,7.09225274997239e-10
"ENSG00000102760",4.47001808444454,7.48044807557987,1.34920643259172e-12,7.10017097534797e-10
"ENSG00000182795",3.35718975735744,7.91929669893955,1.66821339564538e-12,8.70698001484553e-10
"ENSG00000198840",-1.63349635410039,9.8308856415465,2.23005784068578e-12,1.15448100051632e-09
"ENSG00000211899",-1.91036305922692,9.75563700426241,2.38567209268971e-12,1.22508109817831e-09
"ENSG00000104763",2.65049027140623,8.27395048386914,3.16459704926742e-12,1.61207105367322e-09
"ENSG00000117289",1.06686920414546,10.5199344234488,3.62902701441032e-12,1.83398352515549e-09
"ENSG00000156675",3.16955084106206,7.96602210137334,5.20432448870987e-12,2.60937453655976e-09
"ENSG00000211459",-1.56654651405385,9.66626316957766,5.52333631064741e-12,2.74768721028738e-09
"ENSG00000005884",3.47100256341701,7.7699139162399,5.9236662000106e-12,2.92399510815407e-09
"ENSG00000137491",5.30845742640036,7.4589617522386,1.04520103814547e-11,5.11955548499624e-09
"ENSG00000231389",1.67731045316681,9.2923633194667,1.1886157176622e-11,5.77757972808077e-09
"ENSG00000135678",7.25188287162158,7.11782985610126,1.45576106409293e-11,6.98764255224054e-09
"ENSG00000184530",-7.1904362189507,7.27392921869521,1.45950822829322e-11,6.98764255224054e-09
"ENSG00000123384",2.41950005878243,8.3979392849118,1.59562467079271e-11,7.5823131744326e-09
"ENSG00000099194",3.2487288657043,7.82143759983107,1.9080589431751e-11,8.99981935300873e-09
"ENSG00000142748",5.16838583618636,7.31047885955592,1.957588471049e-11,9.16554437371443e-09
"ENSG00000105971",4.00844174361125,7.58437116266141,2.11573326627798e-11,9.83368112872383e-09
"ENSG00000166557",-3.12594471466443,8.09706557673486,2.38536001173553e-11,1.10065350802371e-08
"ENSG00000006074",7.21034106401932,7.0760140692592,2.91350598092613e-11,1.33467918590973e-08
"ENSG00000161798",-3.42321430083743,8.10557013210487,3.3192587761869e-11,1.50969372737484e-08
"ENSG00000139567",4.29269546450176,7.31050467645389,3.84152289469651e-11,1.73484263718223e-08
"ENSG00000135821",1.83975825462884,8.97736342709457,4.62819286239758e-11,2.07538597680302e-08
"ENSG00000163131",3.06309175609288,7.87142857578844,5.67571253823343e-11,2.52731938171015e-08
"ENSG00000159189",2.84431869849042,8.03294194730016,5.75226549149398e-11,2.54361984330813e-08
"ENSG00000196735",2.84431869849042,8.03300074848515,5.83163712723863e-11,2.56093328078653e-08
"ENSG00000179776",4.36625984622427,7.39050061696697,6.02130102940494e-11,2.62611208457801e-08
"ENSG00000186847",-7.07578187384115,7.15833589311175,1.18847624265098e-10,5.14812334877848e-08
"ENSG00000188783",3.44199169847663,7.75472249247399,1.22274936824205e-10,5.26079653866086e-08
"ENSG00000114353",2.53761961952936,8.41191201572364,1.37655473443056e-10,5.88278518587922e-08
"ENSG00000125968",5.05361680618326,7.19803052972898,1.46298011777004e-10,6.21044813194166e-08
"ENSG00000102024",3.00676359136215,7.82149875107896,1.77773179948584e-10,7.49661258702387e-08
"ENSG00000211679",-2.1311162419446,9.04947218749295,1.85096445813091e-10,7.75407979183841e-08
"ENSG00000165757",7.07801699396205,6.94274592839547,2.33006053132779e-10,9.64726859949909e-08
"ENSG00000117983",-7.07578187384115,7.15399786443324,2.33318575966276e-10,9.64726859949909e-08
"ENSG00000184009",0.932549715161105,10.6287975173704,2.49242959145781e-10,1.02392223655269e-07
"ENSG00000138449",2.76663986464309,7.96582754000325,3.16544318630557e-10,1.2838392377783e-07
"ENSG00000169504",2.76663986464309,7.96582752638664,3.16544318630557e-10,1.2838392377783e-07
"ENSG00000128641",5.05361680618326,7.20303342957527,3.3151935508553e-10,1.33606496547001e-07
"ENSG00000167996",7.07801699396205,6.94550730150915,3.46458548302915e-10,1.38749022149286e-07
"ENSG00000101443",-2.72434911257527,8.138288376341,3.91696029959224e-10,1.55885227523022e-07
"ENSG00000054598",-3.71257601931955,7.6889521552992,4.48878660176042e-10,1.77532904132731e-07
"ENSG00000116039",-6.99394865241284,7.0760015536552,4.66048103210637e-10,1.82268653839667e-07
"ENSG00000104783",-6.99394865241284,7.07599373103639,4.66577526475684e-10,1.82268653839667e-07
"ENSG00000111341",-1.77297481769054,9.01090788503279,5.97453574536522e-10,2.31972279342607e-07
"ENSG00000124942",0.997957362117935,10.3504953894217,7.80175756023511e-10,3.01081645094261e-07
"ENSG00000186081",-4.84899516611542,7.38080086775343,7.92012569824371e-10,3.03808387928534e-07
"ENSG00000182010",6.98253788630324,6.84653169321158,9.32123483425832e-10,3.5541254449475e-07
"ENSG00000150593",-2.79244750116368,8.0108852596011,9.81905839329665e-10,3.72165691816403e-07
"ENSG00000136235",2.91791994850805,7.74343475907457,1.01877873211038e-09,3.83856535774323e-07
"ENSG00000173376",4.92892242492239,7.07600948413637,1.07719729468108e-09,4.01801112051815e-07
"ENSG00000071967",2.24502590484275,8.25533436558259,1.07902490986966e-09,4.01801112051815e-07
"ENSG00000156076",4.09048308296656,7.118219623539,1.14442871920533e-09,4.23678157698364e-07
"ENSG00000134871",2.15731831135458,8.36358739939164,1.1735269396242e-09,4.31939314494282e-07
"ENSG00000173706",3.03677033822237,7.63240330265777,1.28547645751881e-09,4.7042528108602e-07
"ENSG00000150093",1.60142873376794,9.05471602047474,1.45731999064037e-09,5.30264615565807e-07
"ENSG00000132688",3.68835565958308,7.27394896000188,1.49394476271962e-09,5.40502424493945e-07
"ENSG00000197747",3.2207277886334,7.54313588707912,1.51452975279582e-09,5.44854217734612e-07
"ENSG00000196352",2.35172816550471,8.13831477011128,1.55702680993303e-09,5.56995725557839e-07
"ENSG00000110799",2.6361498909685,8.15024096407423,1.71781009220882e-09,6.11079751013904e-07
"ENSG00000106991",2.88704653495234,7.71648255024319,1.82911528955899e-09,6.47059695433101e-07
"ENSG00000088992",-6.9071930396907,6.98849905269188,1.87409979458298e-09,6.59310378562795e-07
"ENSG00000116260",2.51112225160011,8.03294169542161,2.36320542190865e-09,8.26810266183819e-07
"ENSG00000148303",-1.41700106473567,9.45614500117122,2.90623341225026e-09,1.01124217900791e-06
"ENSG00000178372",-6.86177703793615,6.94272919060646,3.73090002447759e-09,1.29113472803606e-06
"ENSG00000168610",2.36210212312473,8.03294154527985,4.04469409286976e-09,1.39216184355446e-06
"ENSG00000166347",4.839371896552,6.98854952756439,4.07745494908139e-09,1.39589258783713e-06
"ENSG00000140105",2.94814649524916,7.78055531829243,4.69795663416556e-09,1.59971704084025e-06
"ENSG00000113140",1.41313456840553,9.26467346957766,4.85825656616302e-09,1.64550183567551e-06
"ENSG00000138080",6.93231919523652,6.80341101786061,4.95408380357228e-09,1.66908063638237e-06
"ENSG00000107798",3.15073323130748,7.48039999425033,5.10230829333249e-09,1.70997148887495e-06
"ENSG00000177469",2.10421823221953,8.48815138842426,5.36945016538156e-09,1.79007910330281e-06
"ENSG00000122862",3.38080944150862,7.38434832886479,5.40850988092597e-09,1.79370976655126e-06
