"","logFC","logCPM","PValue","FDR"
"XLOC_001682",4.85399385931892,2.1343499732162,3.96941685342627e-34,6.37289875817588e-30
"XLOC_011602",2.42783011760718,2.9782282124981,1.49819756828888e-20,1.2026780979439e-16
"XLOC_001715",2.32880322692229,2.59723342913919,1.4814335672749e-18,6.50318914639065e-15
"XLOC_000945",1.933287163667,3.30036239584756,1.62022775369434e-18,6.50318914639065e-15
"XLOC_031357",-1.29808220476453,5.18496889209966,8.54539530862514e-18,2.74392643359953e-14
"XLOC_019305",3.08871760638655,1.82248753985086,1.0711429623003e-17,2.86620004328855e-14
"XLOC_031195",4.44078580128485,-0.426186325469082,1.12479648031867e-16,2.5798010702166e-13
"XLOC_000941",2.01057129248711,4.20417450039989,1.41950110520745e-16,2.8487612805132e-13
"XLOC_031019",-0.903887998310334,7.59769391327641,1.64085051888936e-16,2.92709500897429e-13
"XLOC_000943",2.28480328499122,3.31045745465005,1.87442515391399e-16,3.00938958460892e-13
"XLOC_030727",4.28424773557247,-0.567504970285736,2.94857104850862e-16,4.30357347125508e-13
"XLOC_031531",-0.905018265090329,7.77780396902655,6.49174684662941e-16,8.68541630188627e-13
"XLOC_031604",-0.917599219065754,6.78104375382106,2.83632419678854e-15,3.50286038303385e-12
"XLOC_031289",-1.73164108607429,4.11867477138421,3.50571580111848e-15,3.9332394823554e-12
"XLOC_031167",-1.27148108971012,4.74679420603052,3.6747799586005e-15,3.9332394823554e-12
"XLOC_031175",-1.05350171768301,6.93340503025143,1.13182689453467e-14,1.13571754948463e-11
"XLOC_030884",-0.928140563738696,6.21253338354327,1.75956402654138e-14,1.66175296741893e-11
"XLOC_030817",-0.902740299012848,7.34498129128166,2.0517663358962e-14,1.83006158460075e-11
"XLOC_031240",-0.966354558482047,5.9881675347189,3.03370596729229e-14,2.56061713881278e-11
"XLOC_022255",3.259493129971,1.17672265781336,3.18980646379667e-14,2.56061713881278e-11
"XLOC_031619",-0.806323631183317,8.52835867432131,3.8557486339332e-14,2.94781163418084e-11
"XLOC_031650",-1.12992504185026,5.16245578919589,5.59981776740553e-14,4.08659428434981e-11
"XLOC_031635",-0.868751932053798,6.51427176689747,6.30067537408346e-14,4.39814535351783e-11
"XLOC_031436",-0.893089894567546,7.4486008819166,7.39524607007634e-14,4.94711148562815e-11
"XLOC_031438",-0.811702719949851,10.2325575327432,2.02075969856167e-13,1.29434286993527e-10
"XLOC_031514",-0.914477035341857,6.03589009026328,2.09610181366035e-13,1.29434286993527e-10
"XLOC_031585",-0.913995995143139,6.05767705359063,3.41208166523991e-13,2.02892485686766e-10
"XLOC_030984",-0.891043548984532,5.93982353605474,6.98386258552479e-13,4.00449692180716e-10
"XLOC_031006",-0.987531597208001,5.66409244084606,1.00488318339463e-12,5.56324121013818e-10
"XLOC_031193",-0.867259134624234,6.55071992016163,1.14534550766062e-12,6.12950737516374e-10
"XLOC_031088",-0.815623938527715,6.66296299779896,1.20785441536434e-12,6.25551698021755e-10
"XLOC_031074",-0.847662428067342,7.08148708703216,1.29314259086364e-12,6.48793884259867e-10
"XLOC_030883",-0.900070497201398,5.81475239311003,1.79010844495423e-12,8.70914881325459e-10
"XLOC_031502",-0.794272700944837,7.14122228516109,3.09429552551424e-12,1.46114454888621e-09
"XLOC_031141",-0.878643699777508,5.7801981173604,4.08304498539116e-12,1.83500272944483e-09
"XLOC_030750",-0.815581556405638,6.33483897642256,4.11461216194419e-12,1.83500272944483e-09
"XLOC_031123",-0.747386247166061,8.8958408479248,4.77714173652432e-12,2.07289217783508e-09
"XLOC_031048",-0.802105583138438,6.99624181349555,4.99770828178947e-12,2.11153174905605e-09
"XLOC_031241",-1.05289295329654,5.05324522640772,5.41420954241035e-12,2.22884959495893e-09
"XLOC_030844",-0.826846382279699,6.24973371815603,5.96472199699805e-12,2.39409029154509e-09
"XLOC_031523",-0.986360081966768,5.46644176243528,7.09242045479752e-12,2.77728805857986e-09
"XLOC_031028",-0.812271463634233,6.15296111707378,7.29795999574913e-12,2.78973208885125e-09
"XLOC_030860",-0.786656591684672,7.89278092007544,8.41269797367226e-12,3.12945518469008e-09
"XLOC_031506",-1.24451432398241,4.33255390312648,8.57651997049914e-12,3.12945518469008e-09
"XLOC_030830",-0.877304868143549,6.01335538232237,9.19483055492769e-12,3.28051121243031e-09
"XLOC_031337",-0.771039977406796,9.16449489993612,1.21595071122327e-11,4.24393231928033e-09
"XLOC_031550",-1.35147993759941,3.71019415024418,1.32246943983313e-11,4.51749933117465e-09
"XLOC_031607",-0.800688608894714,7.28681183087896,1.54151085211125e-11,5.15603265221795e-09
"XLOC_031302",-0.97557773787534,5.5653457127907,1.73897034136434e-11,5.69778955726623e-09
"XLOC_031603",-0.917234309693626,5.4010617157438,1.80448619348628e-11,5.79420516728445e-09
"XLOC_030767",-0.749257164842367,9.37146767313092,1.98978812494537e-11,6.26393104823489e-09
"XLOC_031296",-1.01094562991227,5.44864236908872,2.0839285106691e-11,6.43412927669084e-09
"XLOC_031578",-1.18813779739348,5.12738633280866,2.20910723436709e-11,6.69192766938937e-09
"XLOC_031279",-0.768854940992433,7.07031841120594,2.35480018841456e-11,7.00116981944366e-09
"XLOC_031299",-0.799381649073833,8.07026322005186,2.42081893059721e-11,7.0665905328615e-09
"XLOC_031326",-0.727743180942391,7.69658681843164,2.61059472387065e-11,7.4844818378113e-09
"XLOC_000339",1.52272133168164,4.46267795650208,2.90803442157565e-11,8.19096362077142e-09
"XLOC_001291",1.91543482385003,3.19824358551589,3.28328165424489e-11,9.08846326877616e-09
"XLOC_031385",-0.780219963660851,7.53443110554974,4.20597296918187e-11,1.14452366135957e-08
"XLOC_024278",1.58144955876762,3.14884527794756,4.97020685698501e-11,1.32994451814824e-08
"XLOC_031197",-0.841577485213967,6.3028234956315,5.27475927700243e-11,1.38829934741433e-08
"XLOC_012180",3.57570248324731,-0.347907177982606,5.42790291563047e-11,1.40556421468463e-08
"XLOC_030743",-0.845297091177973,6.68457966408171,5.83149187919486e-11,1.48610479556307e-08
"XLOC_030896",-0.7535338348051,6.77595663552265,6.12424046334604e-11,1.5363231349847e-08
"XLOC_031660",-1.31060370602123,4.31672264175455,6.47449786649942e-11,1.59920097302536e-08
"XLOC_031243",-0.745154193966593,6.91123589207578,6.91889628083584e-11,1.68307393619423e-08
"XLOC_031402",-0.72402306264113,7.72175945169034,7.30013441901502e-11,1.74930832981024e-08
"XLOC_000143",-3.47109548012423,-1.00507416170719,7.41492996339677e-11,1.75068677297552e-08
"XLOC_030755",-0.919039906121761,5.51489348455979,8.07902277956079e-11,1.87983638733114e-08
"XLOC_030744",-0.831362458473589,5.90077269718233,8.2876112127016e-11,1.90082282885606e-08
"XLOC_031204",-0.804609539604559,5.88576156149401,1.18635197957349e-10,2.68213854274479e-08
"XLOC_031556",-0.839068689529142,6.29723220044959,1.20282762427671e-10,2.68213854274479e-08
"XLOC_031586",-0.743983018882029,6.47063823887332,1.36568816354678e-10,3.00357855695118e-08
"XLOC_002116",4.07466618118501,2.93991397738089,1.4906667488345e-10,3.23414252061322e-08
"XLOC_031437",-0.673967859040532,8.71040180525437,1.59337117915571e-10,3.41087657084599e-08
"XLOC_031661",-1.67072611588308,4.07979161802114,1.93261378823693e-10,4.08264662765052e-08
"XLOC_031526",-0.877924578736272,7.04041647315382,2.01018136053067e-10,4.19135866796361e-08
"XLOC_031239",-0.859540420528827,6.53865086089767,2.05177323644693e-10,4.22323324501992e-08
"XLOC_030974",-0.811392443598515,5.83797132263865,2.11407779878907e-10,4.29639481766564e-08
"XLOC_030939",-0.700754617639194,6.99825384251855,2.63277107582281e-10,5.28364245279191e-08
"XLOC_031643",-1.02539089630564,4.59971419614246,3.87609634681387e-10,7.68280578371565e-08
"XLOC_031494",-0.84161830040039,5.64832354734758,4.88261632229819e-10,9.45001034634055e-08
"XLOC_002115",3.90039237780851,-0.231429635144778,4.88539930704619e-10,9.45001034634055e-08
"XLOC_030728",4.45787888611676,2.72374480206897,5.22726885515846e-10,9.99092874637727e-08
"XLOC_031217",-0.706927471514966,7.45037035129997,8.54575847769057e-10,1.6141429689332e-07
"XLOC_031694",-0.886482610878722,5.64288643443936,9.92290041678978e-10,1.85246704873907e-07
"XLOC_031250",-0.870109921904458,5.29563900954552,1.04677128195489e-09,1.93171413009032e-07
"XLOC_030846",-0.974339592272055,4.53252845279358,1.26301643424965e-09,2.3042873695316e-07
"XLOC_031065",-0.715747542555841,6.24676040081598,1.51282063082986e-09,2.70763454450058e-07
"XLOC_030753",-0.774990649963404,5.81653534915686,1.51782690130833e-09,2.70763454450058e-07
"XLOC_031463",-1.05787505753729,4.29670285011475,1.80038563516966e-09,3.17639465633504e-07
"XLOC_000947",2.85066530006826,-0.220149124805681,1.90020172316943e-09,3.31605855059622e-07
"XLOC_001299",1.64505532334339,1.94931077361998,2.29092942527585e-09,3.95493246481761e-07
"XLOC_031149",-0.675418206912999,6.75750662205196,2.40256769223563e-09,4.10353449987692e-07
"XLOC_030923",-0.773570616691145,6.13035716520876,2.47861323836293e-09,4.18885637283335e-07
"XLOC_011266",1.47483460623261,4.21626615610926,2.70996639126671e-09,4.53213650122782e-07
"XLOC_031201",-0.668851624554768,6.74593882168034,4.01976799775027e-09,6.65333764988459e-07
"XLOC_000668",2.59716633614192,-0.172201826349951,4.52475188133615e-09,7.41274402600529e-07
"XLOC_000526",1.06580479610796,6.93258341526648,4.9422264193293e-09,8.0148934507406e-07
"XLOC_031209",-0.727668014491995,6.14354821751725,5.50471751688702e-09,8.83782397336211e-07
"XLOC_031487",-0.680783264046338,6.65337167959835,5.88657408562394e-09,9.32966989095641e-07
"XLOC_031116",-0.768848061320108,5.73415551766071,5.9272894978359e-09,9.32966989095641e-07
"XLOC_031125",-1.08157454217878,7.20940520951135,6.07460377504357e-09,9.46871491342956e-07
"XLOC_031443",-0.952206472883314,4.54664597286715,7.92433609906228e-09,1.22331938529274e-06
"XLOC_002103",2.1806876221814,-0.257371956771354,8.17890610874804e-09,1.25059369119952e-06
"XLOC_031698",-0.677501262569451,6.55195012560922,8.7191573899138e-09,1.32062331976477e-06
"XLOC_030856",-0.861020767820845,4.84207704420425,1.0628874183397e-08,1.59482780387326e-06
"XLOC_030880",-0.661381286398051,6.83596954994861,1.25857657243743e-08,1.87096730282249e-06
"XLOC_022202",1.71018124943175,0.980280821274062,1.47571263335426e-08,2.17362993839474e-06
"XLOC_031225",-0.779648956537837,5.30432562440949,1.75670213797983e-08,2.56398662047875e-06
"XLOC_031505",-1.17061184510689,5.00261631450176,1.94719871148061e-08,2.81642119935325e-06
"XLOC_031008",-0.579936071327894,10.1944611673636,2.03099281167852e-08,2.91139192781238e-06
"XLOC_031409",1.49786863816388,2.26878648119905,2.31662145425254e-08,3.29144756177209e-06
"XLOC_031658",-0.926035791590383,4.73923112576731,2.34841967189563e-08,3.30735770458635e-06
"XLOC_031147",-0.796736900013944,6.38478595087457,2.54120137320032e-08,3.5477380910201e-06
"XLOC_030916",-1.00254829223865,5.59497612842288,3.0717796333692e-08,4.25150189773643e-06
"XLOC_030828",-0.922757825973313,6.02140186197455,3.12061280116725e-08,4.28217423271283e-06
"XLOC_031547",-0.773302216832536,5.70105637518206,3.57999147534481e-08,4.87091213022551e-06
"XLOC_031350",-1.00327051908355,4.24868144871874,3.66925840616311e-08,4.95041543789485e-06
"XLOC_031192",-0.930316445679376,4.4717769641204,4.14039345317192e-08,5.53950140755626e-06
"XLOC_030945",-0.775541103482403,5.45677913867319,4.52190436642562e-08,5.9934595918236e-06
"XLOC_031450",-0.829357467821886,5.60475605462598,4.55435733542498e-08,5.9934595918236e-06
"XLOC_000690",-1.47707226645554,2.29687412561502,4.83903944295014e-08,6.31632343549304e-06
"XLOC_022152",2.03934413227709,0.291602669011985,5.09593785974865e-08,6.59800664018263e-06
"XLOC_031097",-0.929596621874208,4.84735392251327,5.19289770026987e-08,6.66975780622662e-06
"XLOC_016935",1.47866118257214,2.17946748301933,5.34064426465771e-08,6.80508283087933e-06
"XLOC_031634",-0.892009530772796,4.42573064697951,5.41962868330249e-08,6.85134948900956e-06
"XLOC_031358",-1.27841908272166,3.48813858342977,5.90437038969075e-08,7.40583332863164e-06
"XLOC_031620",-0.593647508057971,7.56968315565661,6.48783515388369e-08,8.07458863531803e-06
"XLOC_031276",-0.65463474910205,5.96802070410041,7.0369675356144e-08,8.69065490648379e-06
"XLOC_031068",-0.738787281931423,6.36142127893956,7.13835629809387e-08,8.74857331037382e-06
"XLOC_031338",-1.28421775560229,2.3007422901375,7.53259845363598e-08,9.16180819493376e-06
"XLOC_024386",0.777777282113173,6.38739150666984,7.62128893428053e-08,9.19998449923864e-06
"XLOC_031696",-0.854168042849228,4.78833267958713,8.03624749082811e-08,9.62850398994367e-06
"XLOC_030726",3.94966853402014,0.714856626517314,9.58570194955042e-08,1.13998848000024e-05
"XLOC_031208",-0.817048237503735,5.35268462244408,1.01352371740749e-07,1.1942570258501e-05
"XLOC_031224",-0.86689154898726,4.79279579032741,1.01907949262824e-07,1.1942570258501e-05
"XLOC_031160",-0.939375795613774,4.46498368608842,1.146660203908e-07,1.3340311285321e-05
"XLOC_002109",2.4330495549112,-0.889034375524116,1.17612722915005e-07,1.35846925640316e-05
"XLOC_031351",-0.614077942831165,6.35014993095846,1.24274365475875e-07,1.42516066979655e-05
"XLOC_031596",-0.88532233005981,4.52060649724232,1.26971858036023e-07,1.44576821331088e-05
"XLOC_031600",-0.933069485496885,4.23821831010214,1.38992408087528e-07,1.57149514918681e-05
"XLOC_030978",-0.717286571679514,5.77068076596747,1.40100301994126e-07,1.57294429966133e-05
"XLOC_031014",-0.849502967539739,4.55585789684623,1.42637743393664e-07,1.58381223905217e-05
"XLOC_031103",-0.904015130201136,4.22719864097115,1.43041279764911e-07,1.58381223905217e-05
"XLOC_030840",-0.827932615205258,4.65389489343135,1.44257005150309e-07,1.58633302581385e-05
"XLOC_031312",-1.0840406590254,3.78843099670007,1.60086115194608e-07,1.74842352343499e-05
"XLOC_031644",-0.838275984036468,4.57793505697333,1.62667600527363e-07,1.7646137340992e-05
"XLOC_031399",-0.768280905135962,5.05215926345478,1.65848210995195e-07,1.78704230035427e-05
"XLOC_001576",-0.643495685115821,6.00085278645217,1.69868726637509e-07,1.80753169541916e-05
"XLOC_000177",3.35293025924521,-1.90016179591079,1.70001423860662e-07,1.80753169541916e-05
"XLOC_031016",-0.804966320384007,4.9557741777418,1.94613715942393e-07,2.05560737464152e-05
"XLOC_021438",2.37968844883006,-0.527670943751748,2.04973855606967e-07,2.1508857854705e-05
"XLOC_031122",-0.75098319074996,5.0792879629364,2.16781316652076e-07,2.26001560964226e-05
"XLOC_030907",-0.712288829629263,5.76553350142123,2.2186013679034e-07,2.29804161043155e-05
"XLOC_002105",1.56357757762308,3.38965822429058,2.40158868452646e-07,2.47163502115848e-05
"XLOC_031247",-0.945902502844755,4.36810853281828,2.68976226619339e-07,2.75058173144808e-05
"XLOC_031308",-0.587544106992622,6.51711748910903,2.84094950501407e-07,2.87790813134056e-05
